Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
50,42,6,5,45,37,20,Train/20/00020_00001_00019.png
50,43,5,5,45,38,20,Train/20/00020_00001_00020.png
51,44,5,5,46,39,20,Train/20/00020_00001_00021.png
54,46,6,6,48,41,20,Train/20/00020_00001_00022.png
55,47,6,5,50,42,20,Train/20/00020_00001_00023.png
57,49,6,6,51,44,20,Train/20/00020_00001_00024.png
59,51,6,6,53,46,20,Train/20/00020_00001_00025.png
59,52,5,6,54,47,20,Train/20/00020_00001_00026.png
63,54,6,5,58,48,20,Train/20/00020_00001_00027.png
65,56,6,6,59,51,20,Train/20/00020_00001_00028.png
69,58,6,5,63,53,20,Train/20/00020_00001_00029.png
33,32,5,5,28,27,20,Train/20/00020_00002_00000.png
33,33,5,6,28,28,20,Train/20/00020_00002_00001.png
35,35,6,6,30,29,20,Train/20/00020_00002_00002.png
35,35,5,6,30,30,20,Train/20/00020_00002_00003.png
36,34,6,5,31,29,20,Train/20/00020_00002_00004.png
36,36,5,6,31,31,20,Train/20/00020_00002_00005.png
38,37,6,6,33,32,20,Train/20/00020_00002_00006.png
38,37,6,6,33,32,20,Train/20/00020_00002_00007.png
38,37,5,5,33,32,20,Train/20/00020_00002_00008.png
39,39,5,6,34,34,20,Train/20/00020_00002_00009.png
41,40,5,6,36,35,20,Train/20/00020_00002_00010.png
43,40,6,6,38,35,20,Train/20/00020_00002_00011.png
44,41,6,6,39,36,20,Train/20/00020_00002_00012.png
44,42,6,5,39,37,20,Train/20/00020_00002_00013.png
45,44,6,6,40,39,20,Train/20/00020_00002_00014.png
47,46,5,6,42,41,20,Train/20/00020_00002_00015.png
49,46,6,5,44,41,20,Train/20/00020_00002_00016.png
50,48,6,6,45,43,20,Train/20/00020_00002_00017.png
52,51,5,6,47,46,20,Train/20/00020_00002_00018.png
55,52,6,5,50,47,20,Train/20/00020_00002_00019.png
56,53,6,5,51,48,20,Train/20/00020_00002_00020.png
58,57,5,6,53,52,20,Train/20/00020_00002_00021.png
61,59,6,6,56,53,20,Train/20/00020_00002_00022.png
63,59,6,5,58,54,20,Train/20/00020_00002_00023.png
68,65,6,6,62,60,20,Train/20/00020_00002_00024.png
72,71,7,7,66,64,20,Train/20/00020_00002_00025.png
81,77,8,7,74,71,20,Train/20/00020_00002_00026.png
87,81,8,7,80,74,20,Train/20/00020_00002_00027.png
92,85,8,7,84,78,20,Train/20/00020_00002_00028.png
105,99,10,8,96,91,20,Train/20/00020_00002_00029.png
34,34,5,6,29,29,20,Train/20/00020_00003_00000.png
35,34,5,5,29,28,20,Train/20/00020_00003_00001.png
37,35,6,5,32,29,20,Train/20/00020_00003_00002.png
38,36,6,6,33,31,20,Train/20/00020_00003_00003.png
38,37,6,6,33,31,20,Train/20/00020_00003_00004.png
39,38,5,6,33,32,20,Train/20/00020_00003_00005.png
39,38,5,6,34,33,20,Train/20/00020_00003_00006.png
40,38,6,5,35,32,20,Train/20/00020_00003_00007.png
42,39,6,6,37,34,20,Train/20/00020_00003_00008.png
42,39,5,5,37,34,20,Train/20/00020_00003_00009.png
43,41,5,6,38,36,20,Train/20/00020_00003_00010.png
45,43,5,6,40,38,20,Train/20/00020_00003_00011.png
46,44,5,6,41,39,20,Train/20/00020_00003_00012.png
48,45,6,6,43,40,20,Train/20/00020_00003_00013.png
49,47,5,5,44,41,20,Train/20/00020_00003_00014.png
51,49,6,6,46,44,20,Train/20/00020_00003_00015.png
53,51,6,6,48,45,20,Train/20/00020_00003_00016.png
54,51,6,5,49,46,20,Train/20/00020_00003_00017.png
57,54,6,6,51,49,20,Train/20/00020_00003_00018.png
58,56,5,6,53,51,20,Train/20/00020_00003_00019.png
62,58,5,5,57,53,20,Train/20/00020_00003_00020.png
64,61,5,6,58,56,20,Train/20/00020_00003_00021.png
67,64,6,6,61,59,20,Train/20/00020_00003_00022.png
73,71,6,6,67,65,20,Train/20/00020_00003_00023.png
77,75,7,7,71,69,20,Train/20/00020_00003_00024.png
83,80,8,8,76,73,20,Train/20/00020_00003_00025.png
92,86,8,7,84,79,20,Train/20/00020_00003_00026.png
100,95,9,9,92,87,20,Train/20/00020_00003_00027.png
106,99,10,9,97,91,20,Train/20/00020_00003_00028.png
117,118,7,11,107,108,20,Train/20/00020_00003_00029.png
29,29,6,6,24,24,20,Train/20/00020_00004_00000.png
29,29,6,6,24,24,20,Train/20/00020_00004_00001.png
31,31,6,6,26,26,20,Train/20/00020_00004_00002.png
30,31,5,6,25,26,20,Train/20/00020_00004_00003.png
32,33,5,6,27,28,20,Train/20/00020_00004_00004.png
32,33,5,6,27,28,20,Train/20/00020_00004_00005.png
33,32,6,5,28,27,20,Train/20/00020_00004_00006.png
33,33,6,6,28,28,20,Train/20/00020_00004_00007.png
34,33,6,5,29,28,20,Train/20/00020_00004_00008.png
33,34,5,6,28,29,20,Train/20/00020_00004_00009.png
33,34,5,6,28,29,20,Train/20/00020_00004_00010.png
36,35,6,5,31,30,20,Train/20/00020_00004_00011.png
36,36,5,5,31,31,20,Train/20/00020_00004_00012.png
36,37,5,6,31,32,20,Train/20/00020_00004_00013.png
37,37,6,6,32,32,20,Train/20/00020_00004_00014.png
37,37,6,6,32,32,20,Train/20/00020_00004_00015.png
41,41,6,6,36,36,20,Train/20/00020_00004_00016.png
41,41,6,6,36,36,20,Train/20/00020_00004_00017.png
41,40,6,5,36,35,20,Train/20/00020_00004_00018.png
40,41,5,6,35,36,20,Train/20/00020_00004_00019.png
41,40,6,5,36,35,20,Train/20/00020_00004_00020.png
40,41,5,6,35,36,20,Train/20/00020_00004_00021.png
40,40,5,5,35,35,20,Train/20/00020_00004_00022.png
42,42,5,5,37,37,20,Train/20/00020_00004_00023.png
44,44,6,6,39,39,20,Train/20/00020_00004_00024.png
47,46,6,5,42,41,20,Train/20/00020_00004_00025.png
48,49,5,6,43,44,20,Train/20/00020_00004_00026.png
52,53,5,6,47,48,20,Train/20/00020_00004_00027.png
54,55,5,6,49,50,20,Train/20/00020_00004_00028.png
58,58,5,5,53,53,20,Train/20/00020_00004_00029.png
28,26,5,6,22,21,20,Train/20/00020_00005_00000.png
28,26,5,5,22,20,20,Train/20/00020_00005_00001.png
30,28,6,6,24,22,20,Train/20/00020_00005_00002.png
30,29,5,6,25,24,20,Train/20/00020_00005_00003.png
30,29,5,6,25,24,20,Train/20/00020_00005_00004.png
32,29,6,5,27,24,20,Train/20/00020_00005_00005.png
32,29,5,5,26,24,20,Train/20/00020_00005_00006.png
32,31,5,6,27,26,20,Train/20/00020_00005_00007.png
33,30,6,5,28,25,20,Train/20/00020_00005_00008.png
33,31,5,5,27,25,20,Train/20/00020_00005_00009.png
35,32,6,5,30,27,20,Train/20/00020_00005_00010.png
36,33,5,5,30,28,20,Train/20/00020_00005_00011.png
38,35,6,6,33,30,20,Train/20/00020_00005_00012.png
39,35,6,5,33,29,20,Train/20/00020_00005_00013.png
40,37,6,6,34,31,20,Train/20/00020_00005_00014.png
40,37,5,6,34,32,20,Train/20/00020_00005_00015.png
40,38,5,5,35,32,20,Train/20/00020_00005_00016.png
43,40,6,6,38,35,20,Train/20/00020_00005_00017.png
44,42,6,6,39,36,20,Train/20/00020_00005_00018.png
46,42,6,5,41,37,20,Train/20/00020_00005_00019.png
48,44,6,5,43,39,20,Train/20/00020_00005_00020.png
49,47,5,6,44,42,20,Train/20/00020_00005_00021.png
49,47,5,6,44,42,20,Train/20/00020_00005_00022.png
51,48,5,5,46,43,20,Train/20/00020_00005_00023.png
51,48,5,5,46,43,20,Train/20/00020_00005_00024.png
53,50,6,6,48,45,20,Train/20/00020_00005_00025.png
55,51,6,5,50,46,20,Train/20/00020_00005_00026.png
59,55,5,6,54,50,20,Train/20/00020_00005_00027.png
68,60,7,5,62,55,20,Train/20/00020_00005_00028.png
74,67,7,6,68,61,20,Train/20/00020_00005_00029.png
27,25,6,5,22,20,20,Train/20/00020_00006_00000.png
27,27,6,6,22,21,20,Train/20/00020_00006_00001.png
28,28,5,6,22,22,20,Train/20/00020_00006_00002.png
29,27,5,5,23,22,20,Train/20/00020_00006_00003.png
30,28,6,5,25,22,20,Train/20/00020_00006_00004.png
30,28,6,6,25,23,20,Train/20/00020_00006_00005.png
31,29,6,6,26,24,20,Train/20/00020_00006_00006.png
32,30,5,6,26,25,20,Train/20/00020_00006_00007.png
33,31,6,5,28,25,20,Train/20/00020_00006_00008.png
35,31,6,5,29,25,20,Train/20/00020_00006_00009.png
35,32,5,6,29,27,20,Train/20/00020_00006_00010.png
35,34,5,6,30,28,20,Train/20/00020_00006_00011.png
37,35,5,6,31,29,20,Train/20/00020_00006_00012.png
38,36,5,6,32,30,20,Train/20/00020_00006_00013.png
39,36,5,5,33,30,20,Train/20/00020_00006_00014.png
41,38,6,6,35,32,20,Train/20/00020_00006_00015.png
41,39,5,6,36,33,20,Train/20/00020_00006_00016.png
43,40,6,6,38,34,20,Train/20/00020_00006_00017.png
45,42,5,6,40,36,20,Train/20/00020_00006_00018.png
49,44,6,6,44,39,20,Train/20/00020_00006_00019.png
50,44,6,5,45,39,20,Train/20/00020_00006_00020.png
52,46,5,5,47,40,20,Train/20/00020_00006_00021.png
55,49,5,5,50,43,20,Train/20/00020_00006_00022.png
60,52,6,5,54,46,20,Train/20/00020_00006_00023.png
62,55,5,6,57,50,20,Train/20/00020_00006_00024.png
67,57,6,6,61,52,20,Train/20/00020_00006_00025.png
72,60,6,5,65,55,20,Train/20/00020_00006_00026.png
76,66,6,6,69,60,20,Train/20/00020_00006_00027.png
84,71,8,6,76,64,20,Train/20/00020_00006_00028.png
89,75,8,6,81,69,20,Train/20/00020_00006_00029.png
27,27,6,6,22,22,20,Train/20/00020_00007_00000.png
27,27,6,6,22,22,20,Train/20/00020_00007_00001.png
26,27,5,6,21,22,20,Train/20/00020_00007_00002.png
27,28,5,6,22,23,20,Train/20/00020_00007_00003.png
27,28,5,6,22,23,20,Train/20/00020_00007_00004.png
28,28,6,6,23,23,20,Train/20/00020_00007_00005.png
27,28,5,6,22,23,20,Train/20/00020_00007_00006.png
27,28,5,6,22,23,20,Train/20/00020_00007_00007.png
27,28,5,6,22,23,20,Train/20/00020_00007_00008.png
28,28,5,5,23,23,20,Train/20/00020_00007_00009.png
27,27,5,5,22,22,20,Train/20/00020_00007_00010.png
28,29,5,6,23,24,20,Train/20/00020_00007_00011.png
28,28,5,5,23,23,20,Train/20/00020_00007_00012.png
30,30,5,5,25,25,20,Train/20/00020_00007_00013.png
30,30,5,5,25,25,20,Train/20/00020_00007_00014.png
31,32,5,6,25,27,20,Train/20/00020_00007_00015.png
33,32,6,5,28,27,20,Train/20/00020_00007_00016.png
34,35,5,6,29,30,20,Train/20/00020_00007_00017.png
38,36,6,5,33,31,20,Train/20/00020_00007_00018.png
40,39,5,6,35,34,20,Train/20/00020_00007_00019.png
41,41,5,6,36,35,20,Train/20/00020_00007_00020.png
44,42,5,5,38,36,20,Train/20/00020_00007_00021.png
48,45,6,5,43,40,20,Train/20/00020_00007_00022.png
53,50,6,6,47,45,20,Train/20/00020_00007_00023.png
57,55,5,6,52,50,20,Train/20/00020_00007_00024.png
63,60,5,5,58,55,20,Train/20/00020_00007_00025.png
74,71,7,7,68,65,20,Train/20/00020_00007_00026.png
88,84,8,7,81,77,20,Train/20/00020_00007_00027.png
106,100,10,8,97,92,20,Train/20/00020_00007_00028.png
124,119,11,10,114,109,20,Train/20/00020_00007_00029.png
30,30,5,5,25,25,20,Train/20/00020_00008_00000.png
30,31,5,6,25,26,20,Train/20/00020_00008_00001.png
30,30,5,5,25,25,20,Train/20/00020_00008_00002.png
30,31,5,6,25,26,20,Train/20/00020_00008_00003.png
31,31,5,5,26,26,20,Train/20/00020_00008_00004.png
32,31,6,5,27,26,20,Train/20/00020_00008_00005.png
32,31,6,5,27,26,20,Train/20/00020_00008_00006.png
32,33,5,6,27,28,20,Train/20/00020_00008_00007.png
34,35,5,6,29,30,20,Train/20/00020_00008_00008.png
35,34,6,5,30,29,20,Train/20/00020_00008_00009.png
34,34,5,5,29,29,20,Train/20/00020_00008_00010.png
35,35,6,6,30,30,20,Train/20/00020_00008_00011.png
35,35,5,5,30,30,20,Train/20/00020_00008_00012.png
36,36,6,6,31,31,20,Train/20/00020_00008_00013.png
36,36,6,6,31,31,20,Train/20/00020_00008_00014.png
40,40,6,6,35,35,20,Train/20/00020_00008_00015.png
39,40,5,6,34,35,20,Train/20/00020_00008_00016.png
40,40,6,6,35,35,20,Train/20/00020_00008_00017.png
40,40,5,5,35,35,20,Train/20/00020_00008_00018.png
41,40,6,5,36,35,20,Train/20/00020_00008_00019.png
42,43,5,6,37,38,20,Train/20/00020_00008_00020.png
44,44,5,5,39,39,20,Train/20/00020_00008_00021.png
45,45,6,6,40,40,20,Train/20/00020_00008_00022.png
48,48,5,5,43,43,20,Train/20/00020_00008_00023.png
50,50,5,5,45,45,20,Train/20/00020_00008_00024.png
53,53,6,6,48,48,20,Train/20/00020_00008_00025.png
55,55,6,6,50,50,20,Train/20/00020_00008_00026.png
61,61,6,6,56,56,20,Train/20/00020_00008_00027.png
73,72,7,6,67,66,20,Train/20/00020_00008_00028.png
76,76,6,6,70,70,20,Train/20/00020_00008_00029.png
36,36,5,5,31,31,20,Train/20/00020_00009_00000.png
37,36,6,5,32,31,20,Train/20/00020_00009_00001.png
36,36,5,5,31,31,20,Train/20/00020_00009_00002.png
37,36,6,5,32,31,20,Train/20/00020_00009_00003.png
38,38,6,6,33,33,20,Train/20/00020_00009_00004.png
39,38,6,5,34,33,20,Train/20/00020_00009_00005.png
39,40,5,6,34,35,20,Train/20/00020_00009_00006.png
39,40,5,6,34,35,20,Train/20/00020_00009_00007.png
39,39,5,5,34,34,20,Train/20/00020_00009_00008.png
40,40,6,6,35,35,20,Train/20/00020_00009_00009.png
39,40,5,6,34,35,20,Train/20/00020_00009_00010.png
40,40,6,6,35,35,20,Train/20/00020_00009_00011.png
40,40,6,6,35,35,20,Train/20/00020_00009_00012.png
39,39,5,5,34,34,20,Train/20/00020_00009_00013.png
43,42,6,5,38,37,20,Train/20/00020_00009_00014.png
43,43,6,6,38,38,20,Train/20/00020_00009_00015.png
43,42,6,5,38,37,20,Train/20/00020_00009_00016.png
43,43,6,6,38,38,20,Train/20/00020_00009_00017.png
45,44,6,5,40,39,20,Train/20/00020_00009_00018.png
45,44,6,5,40,39,20,Train/20/00020_00009_00019.png
47,47,6,6,42,42,20,Train/20/00020_00009_00020.png
47,47,6,6,42,42,20,Train/20/00020_00009_00021.png
47,47,6,6,42,42,20,Train/20/00020_00009_00022.png
50,50,6,6,45,45,20,Train/20/00020_00009_00023.png
52,52,5,5,47,47,20,Train/20/00020_00009_00024.png
54,54,5,5,49,49,20,Train/20/00020_00009_00025.png
56,57,5,6,51,52,20,Train/20/00020_00009_00026.png
57,57,6,6,52,52,20,Train/20/00020_00009_00027.png
59,58,6,5,54,53,20,Train/20/00020_00009_00028.png
61,60,6,5,56,55,20,Train/20/00020_00009_00029.png
29,25,6,5,24,20,20,Train/20/00020_00010_00000.png
31,29,6,6,26,23,20,Train/20/00020_00010_00001.png
33,29,6,5,28,24,20,Train/20/00020_00010_00002.png
35,33,6,6,30,27,20,Train/20/00020_00010_00003.png
35,33,5,6,29,27,20,Train/20/00020_00010_00004.png
37,32,6,5,31,27,20,Train/20/00020_00010_00005.png
37,34,6,6,32,29,20,Train/20/00020_00010_00006.png
37,33,6,5,32,28,20,Train/20/00020_00010_00007.png
37,34,5,5,32,29,20,Train/20/00020_00010_00008.png
38,35,5,6,33,30,20,Train/20/00020_00010_00009.png
40,35,6,5,35,30,20,Train/20/00020_00010_00010.png
40,37,5,6,35,32,20,Train/20/00020_00010_00011.png
42,37,6,5,36,31,20,Train/20/00020_00010_00012.png
42,38,5,5,36,32,20,Train/20/00020_00010_00013.png
44,40,6,6,38,34,20,Train/20/00020_00010_00014.png
44,40,6,6,39,35,20,Train/20/00020_00010_00015.png
45,41,5,5,40,35,20,Train/20/00020_00010_00016.png
47,43,5,6,41,37,20,Train/20/00020_00010_00017.png
49,44,6,5,44,38,20,Train/20/00020_00010_00018.png
51,46,6,5,46,40,20,Train/20/00020_00010_00019.png
54,48,6,6,49,43,20,Train/20/00020_00010_00020.png
57,50,6,5,52,45,20,Train/20/00020_00010_00021.png
58,52,5,5,53,47,20,Train/20/00020_00010_00022.png
63,55,6,5,57,50,20,Train/20/00020_00010_00023.png
64,57,5,5,59,52,20,Train/20/00020_00010_00024.png
71,62,7,5,65,56,20,Train/20/00020_00010_00025.png
75,69,6,7,69,62,20,Train/20/00020_00010_00026.png
81,71,8,7,74,65,20,Train/20/00020_00010_00027.png
88,77,7,7,80,71,20,Train/20/00020_00010_00028.png
95,84,8,8,87,77,20,Train/20/00020_00010_00029.png
28,25,5,5,23,20,20,Train/20/00020_00011_00000.png
30,27,5,5,25,22,20,Train/20/00020_00011_00001.png
31,28,6,6,26,23,20,Train/20/00020_00011_00002.png
30,28,5,6,25,23,20,Train/20/00020_00011_00003.png
30,28,5,6,25,23,20,Train/20/00020_00011_00004.png
31,27,5,5,25,22,20,Train/20/00020_00011_00005.png
31,30,5,6,26,24,20,Train/20/00020_00011_00006.png
31,29,6,6,26,24,20,Train/20/00020_00011_00007.png
32,30,6,6,26,25,20,Train/20/00020_00011_00008.png
33,31,6,5,27,25,20,Train/20/00020_00011_00009.png
35,32,6,5,29,26,20,Train/20/00020_00011_00010.png
35,32,5,5,29,27,20,Train/20/00020_00011_00011.png
37,34,6,5,31,28,20,Train/20/00020_00011_00012.png
37,35,6,6,32,30,20,Train/20/00020_00011_00013.png
39,36,6,6,33,31,20,Train/20/00020_00011_00014.png
40,38,5,6,34,33,20,Train/20/00020_00011_00015.png
42,38,6,5,36,33,20,Train/20/00020_00011_00016.png
42,41,5,6,37,36,20,Train/20/00020_00011_00017.png
45,43,6,6,40,38,20,Train/20/00020_00011_00018.png
47,45,6,6,42,40,20,Train/20/00020_00011_00019.png
48,46,6,6,43,41,20,Train/20/00020_00011_00020.png
50,48,5,5,45,43,20,Train/20/00020_00011_00021.png
52,48,6,6,47,43,20,Train/20/00020_00011_00022.png
57,53,5,5,52,48,20,Train/20/00020_00011_00023.png
58,54,6,6,53,49,20,Train/20/00020_00011_00024.png
62,59,5,6,57,54,20,Train/20/00020_00011_00025.png
71,59,6,5,65,54,20,Train/20/00020_00011_00026.png
73,73,6,7,67,67,20,Train/20/00020_00011_00027.png
86,76,7,6,79,70,20,Train/20/00020_00011_00028.png
99,88,9,8,91,81,20,Train/20/00020_00011_00029.png
29,30,5,6,24,25,0,Train/0/00000_00000_00000.png
30,30,5,5,25,25,0,Train/0/00000_00000_00001.png
30,30,5,5,25,25,0,Train/0/00000_00000_00002.png
31,31,5,5,26,26,0,Train/0/00000_00000_00003.png
30,32,5,6,25,26,0,Train/0/00000_00000_00004.png
31,31,6,6,26,26,0,Train/0/00000_00000_00005.png
33,34,6,6,28,28,0,Train/0/00000_00000_00006.png
34,35,6,6,29,30,0,Train/0/00000_00000_00007.png
33,34,5,5,28,29,0,Train/0/00000_00000_00008.png
36,36,6,5,30,30,0,Train/0/00000_00000_00009.png
35,36,5,5,30,31,0,Train/0/00000_00000_00010.png
37,38,6,6,32,33,0,Train/0/00000_00000_00011.png
37,38,5,6,32,33,0,Train/0/00000_00000_00012.png
40,39,6,5,35,34,0,Train/0/00000_00000_00013.png
41,42,5,6,36,37,0,Train/0/00000_00000_00014.png
44,44,6,6,39,39,0,Train/0/00000_00000_00015.png
46,44,6,5,41,39,0,Train/0/00000_00000_00016.png
47,48,6,6,42,42,0,Train/0/00000_00000_00017.png
50,48,5,5,45,43,0,Train/0/00000_00000_00018.png
53,51,5,5,48,46,0,Train/0/00000_00000_00019.png
57,54,6,5,51,49,0,Train/0/00000_00000_00020.png
59,58,6,6,53,53,0,Train/0/00000_00000_00021.png
63,61,6,5,57,56,0,Train/0/00000_00000_00022.png
70,70,7,7,64,64,0,Train/0/00000_00000_00023.png
76,76,7,7,70,70,0,Train/0/00000_00000_00024.png
85,86,7,8,78,79,0,Train/0/00000_00000_00025.png
97,97,8,8,89,88,0,Train/0/00000_00000_00026.png
108,110,9,10,99,101,0,Train/0/00000_00000_00027.png
124,127,10,11,113,116,0,Train/0/00000_00000_00028.png
144,148,12,13,132,136,0,Train/0/00000_00000_00029.png
29,30,6,6,24,25,0,Train/0/00000_00001_00000.png
30,30,6,5,25,25,0,Train/0/00000_00001_00001.png
30,29,6,5,25,24,0,Train/0/00000_00001_00002.png
31,31,6,6,26,26,0,Train/0/00000_00001_00003.png
31,31,5,5,26,26,0,Train/0/00000_00001_00004.png
32,32,6,6,27,27,0,Train/0/00000_00001_00005.png
33,34,5,6,28,29,0,Train/0/00000_00001_00006.png
34,33,6,5,29,28,0,Train/0/00000_00001_00007.png
33,33,5,5,28,28,0,Train/0/00000_00001_00008.png
34,33,6,5,29,28,0,Train/0/00000_00001_00009.png
36,35,6,5,30,29,0,Train/0/00000_00001_00010.png
35,36,5,6,30,31,0,Train/0/00000_00001_00011.png
36,36,6,6,31,31,0,Train/0/00000_00001_00012.png
36,36,5,6,31,31,0,Train/0/00000_00001_00013.png
37,36,5,5,31,31,0,Train/0/00000_00001_00014.png
38,38,5,6,32,33,0,Train/0/00000_00001_00015.png
38,39,5,6,33,34,0,Train/0/00000_00001_00016.png
39,41,5,6,34,35,0,Train/0/00000_00001_00017.png
40,41,5,6,35,36,0,Train/0/00000_00001_00018.png
42,43,5,5,36,37,0,Train/0/00000_00001_00019.png
43,43,6,5,38,38,0,Train/0/00000_00001_00020.png
45,45,6,5,40,40,0,Train/0/00000_00001_00021.png
45,47,5,6,40,42,0,Train/0/00000_00001_00022.png
47,48,5,5,41,42,0,Train/0/00000_00001_00023.png
49,49,6,5,44,44,0,Train/0/00000_00001_00024.png
50,52,5,5,45,47,0,Train/0/00000_00001_00025.png
53,54,6,5,48,49,0,Train/0/00000_00001_00026.png
55,56,6,5,50,51,0,Train/0/00000_00001_00027.png
57,59,5,6,51,54,0,Train/0/00000_00001_00028.png
59,61,5,5,54,55,0,Train/0/00000_00001_00029.png
27,26,6,5,22,21,0,Train/0/00000_00002_00000.png
27,28,5,6,22,23,0,Train/0/00000_00002_00001.png
27,28,5,6,22,23,0,Train/0/00000_00002_00002.png
30,29,6,5,25,24,0,Train/0/00000_00002_00003.png
30,29,6,5,25,24,0,Train/0/00000_00002_00004.png
31,31,6,6,26,26,0,Train/0/00000_00002_00005.png
30,30,5,5,25,25,0,Train/0/00000_00002_00006.png
32,31,6,5,27,26,0,Train/0/00000_00002_00007.png
31,32,5,6,26,27,0,Train/0/00000_00002_00008.png
34,33,6,5,29,28,0,Train/0/00000_00002_00009.png
34,34,5,5,29,29,0,Train/0/00000_00002_00010.png
35,35,5,5,30,30,0,Train/0/00000_00002_00011.png
38,37,6,5,33,32,0,Train/0/00000_00002_00012.png
39,39,6,6,34,34,0,Train/0/00000_00002_00013.png
40,39,6,5,35,34,0,Train/0/00000_00002_00014.png
41,41,6,6,36,36,0,Train/0/00000_00002_00015.png
44,44,6,6,39,39,0,Train/0/00000_00002_00016.png
46,45,6,5,41,40,0,Train/0/00000_00002_00017.png
48,47,6,5,43,42,0,Train/0/00000_00002_00018.png
51,50,6,5,46,45,0,Train/0/00000_00002_00019.png
52,52,5,5,47,47,0,Train/0/00000_00002_00020.png
55,55,6,6,50,50,0,Train/0/00000_00002_00021.png
59,59,6,6,54,54,0,Train/0/00000_00002_00022.png
62,63,5,6,57,58,0,Train/0/00000_00002_00023.png
69,70,7,6,63,64,0,Train/0/00000_00002_00024.png
74,75,6,6,68,69,0,Train/0/00000_00002_00025.png
83,85,7,8,76,78,0,Train/0/00000_00002_00026.png
92,95,8,9,84,87,0,Train/0/00000_00002_00027.png
107,108,10,9,98,99,0,Train/0/00000_00002_00028.png
122,124,11,11,112,114,0,Train/0/00000_00002_00029.png
27,28,5,6,22,23,0,Train/0/00000_00003_00000.png
28,29,5,6,22,23,0,Train/0/00000_00003_00001.png
29,28,6,5,24,23,0,Train/0/00000_00003_00002.png
29,30,5,6,24,25,0,Train/0/00000_00003_00003.png
28,30,5,6,23,25,0,Train/0/00000_00003_00004.png
31,31,6,6,25,25,0,Train/0/00000_00003_00005.png
33,32,6,5,28,27,0,Train/0/00000_00003_00006.png
31,33,6,6,26,28,0,Train/0/00000_00003_00007.png
33,33,5,5,28,28,0,Train/0/00000_00003_00008.png
34,34,5,5,29,29,0,Train/0/00000_00003_00009.png
36,35,6,5,31,30,0,Train/0/00000_00003_00010.png
37,37,6,6,31,31,0,Train/0/00000_00003_00011.png
37,36,5,5,31,31,0,Train/0/00000_00003_00012.png
